,player_id,player_name,games_played,season,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,fantasy_points,fantasy_points_ppr
0,00-0001397,O.Bobo,1,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3093168470077216,0.0,0.0,0.3,1.3
0,00-0001471,S.Bono,1,1999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8757188688032329,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.2
0,00-0001477,M.Booker,8,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.4564179349690676,0.0,19.0,33.0,219.0,3.0,0.0,0.0,0.0,150.0,9.0,5.584194432123789,0.0,0.0,40.699999999999996,59.699999999999996
0,00-0001525,J.Bostic,5,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,0.0,2.0,1.0,0.0,-3.8330119561869656,0.0,5.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,-4.261685208417475,0.0,0.0,0.7000000000000002,5.700000000000001
0,00-0001532,D.Boston,15,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-2.571010923187714,0.0,40.0,81.0,473.0,2.0,1.0,0.0,0.0,0.0,21.0,1.172458525117122,0.0,0.0,59.300000000000004,99.3
0,00-0001582,F.Bownes,4,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-14.0,0.0,0.0,0.0,0.0,-2.4706359864212573,0.0,4.0,6.0,68.0,1.0,0.0,0.0,0.0,0.0,2.0,4.359698168615701,0.0,0.0,11.4,15.4
0,00-0001627,C.Bradford,16,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,89.0,623.0,5.0,1.0,1.0,0.0,0.0,24.0,-0.6939346133496684,1.0,0.0,92.29999999999998,128.3
0,00-0001661,K.Brady,13,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,51.0,346.0,1.0,0.0,0.0,0.0,0.0,15.0,4.788686686456601,1.0,0.0,42.60000000000001,74.60000000000001
0,00-0001719,C.Brazzell,4,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,114.0,0.0,0.0,0.0,0.0,0.0,4.0,0.7743541433073933,0.0,0.0,11.4,16.4
0,00-0001766,J.Brigham,9,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,108.0,0.0,0.0,0.0,0.0,0.0,4.0,1.767092959201988,0.0,0.0,10.8,18.8
0,00-0001783,V.Brisby,11,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,33.0,266.0,0.0,0.0,0.0,0.0,0.0,13.0,7.1473976054099495,0.0,0.0,26.6,44.6
0,00-0001785,B.Brister,2,1999,12.0,20.0,87.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-7.390930964727886,0.0,0.07090313131568621,2.0,17.0,0.0,0.0,0.0,1.0,-0.7448242976097388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8199999999999998,-0.8199999999999998
0,00-0001842,M.Brooks,9,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.3150614802725613,0.0,14.0,27.0,160.0,0.0,0.0,0.0,0.0,0.0,10.0,-9.575514807762904,0.0,0.0,16.700000000000003,30.700000000000003
0,00-0001862,L.Broughton,16,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,45.0,295.0,4.0,0.0,0.0,0.0,15.0,18.0,15.406681679017067,0.0,0.0,53.5,79.5
0,00-0001907,D.Brown,8,1999,84.0,168.0,944.0,2.0,5.0,18.0,130.0,4.0,1.0,0.0,0.0,39.0,-40.54862880320293,0.0,0.2959312532990791,13.0,49.0,0.0,0.0,0.0,5.0,4.327389663318172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.66,38.66
0,00-0001919,D.Brown,1,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8366579469293356,0.0,0.0,0.0,0.0
0,00-0001938,G.Brown,3,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,170.0,0.0,1.0,0.0,10.0,-10.216754922061227,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9922320353798568,0.0,0.0,17.2,19.2
0,00-0002005,N.Brown,8,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,36.0,188.0,1.0,0.0,0.0,0.0,3.0,9.0,-1.9894203400272343,0.0,0.0,24.8,42.800000000000004
0,00-0002027,R.Brown,14,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,38.0,0.0,1.0,1.0,1.0,-10.47845938440878,0.0,33.0,46.0,225.0,1.0,0.0,0.0,0.0,0.0,10.0,-0.5116404113037923,0.0,0.0,30.3,63.3
0,00-0002058,T.Brown,16,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,-0.1082881023176014,0.0,89.0,143.0,1335.0,6.0,0.0,0.0,0.0,13.0,64.0,61.65503775830638,0.0,0.0,169.9,258.9
0,00-0002068,T.Brown,12,1999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3675864730030298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,56.0,471.0,1.0,0.0,0.0,0.0,0.0,23.0,14.038438244146896,0.0,0.0,53.1,89.10000000000001
0,00-0002099,I.Bruce,15,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,28.0,0.0,0.0,0.0,3.0,3.242508826777339,0.0,68.0,107.0,1026.0,11.0,0.0,0.0,0.0,31.0,49.0,58.771727930613515,1.0,0.0,173.4,241.4
0,00-0002102,M.Bruener,13,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,34.0,176.0,0.0,0.0,0.0,0.0,2.0,6.0,-9.284505263785832,0.0,0.0,17.6,35.6
0,00-0002110,M.Brunell,15,1999,259.0,438.0,3060.0,14.0,8.0,29.0,174.0,3.0,1.0,0.0,0.0,154.0,57.14787558419963,2.0,1.7179312340140063,44.0,186.0,1.0,3.0,0.0,17.0,12.907202450558543,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,191.0
0,00-0002380,S.Bush,1,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1055645432788878,0.0,0.0,0.4,1.4
